ENSEMBL gene ID	E1_SPLE3770	E1_SPLE3773	E1_SPLE3842	E1_SPLE3886	E4_Spleen1	E4_Spleen2	E4_Spleen3
ENSBTAG00000022927	10.84929	15.8948	13.12413	13.8683	1.129153	2.798105	0.0
ENSBTAG00000022986	1.241884	0.264397	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000023106	8.886436	7.741286	9.444468	10.08933	13.1502	10.04628	13.66025
ENSBTAG00000023179	16.40555	24.00536	20.02923	24.03585	36.0137	42.15055	34.37515
ENSBTAG00000023192	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000023369	0.370867	0.24103	0.179021	0.327257	0.0	0.0	0.0
ENSBTAG00000023375	12.62562	8.158962	12.46318	10.06142	12.71742	12.64902	12.51531
ENSBTAG00000023377	60.73086	68.63117	58.57926	70.72231	10.55508	11.5121	4.713175
ENSBTAG00000023384	2.75791	1.725545	7.891638	5.148321	2.110387	2.065364	1.717949
ENSBTAG00000023417	34.22733	34.01708	30.84125	24.91495	0.0	0.710236	0.0
ENSBTAG00000023453	5.721662	5.89185	5.13009	3.999825	4.783918	4.485029	2.675585
ENSBTAG00000023610	61.00095	73.79338	71.4839	66.61279	4.071709	7.06361	4.153087
ENSBTAG00000023632	4.164952	3.279252	4.723478	5.011348	2.095275	2.654242	1.880974
ENSBTAG00000023635	8.105676	2.622211	9.886535	13.16129	1.694395	2.656802	4.806749
ENSBTAG00000023675	7.987071	5.54929	5.540412	5.93478	16.1828	14.08807	21.44674
ENSBTAG00000023734	1.406341	0.588919	1.037761	1.621472	0.543053	0.438406	0.0
ENSBTAG00000023752	0.0	0.0	0.019438	0.0	0.0	0.0	0.0
ENSBTAG00000023814	2.894468	2.94625	2.830512	2.607516	3.487349	3.969481	6.139664
ENSBTAG00000023831	5.298701	3.995379	4.992099	4.880188	2.321183	1.580038	3.367278
ENSBTAG00000023843	1.427977	1.824864	1.593861	1.846727	0.0	0.112349	0.0
ENSBTAG00000023885	5.244357	6.408399	4.638961	6.396778	6.224007	6.59501	5.863599
ENSBTAG00000023907	46.49873	57.64617	26.64198	31.3695	4.762967	6.217061	2.931638
ENSBTAG00000023989	9.273988	7.341593	9.014619	7.294269	24.3824	21.67054	31.42461
ENSBTAG00000023997	192.9596	192.1789	257.1337	219.4481	52.47421	52.88266	37.96778
ENSBTAG00000024042	5.153691	3.415544	6.280957	5.067753	1.563546	0.0	3.110603
ENSBTAG00000024107	20.81184	22.04898	23.2414	20.17774	11.11884	14.14861	10.82652
ENSBTAG00000024132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000024162	6.584323	6.195498	6.651755	5.63303	1.356105	1.480436	0.82825
ENSBTAG00000024219	0.068902	0.067786	0.099569	0.110433	0.0	0.0	0.0
ENSBTAG00000024291	0.0504	0.0	0.074279	0.0	0.0	0.0	0.0
ENSBTAG00000024431	4.030929	3.564524	3.435121	3.469486	2.859187	2.769161	2.920516
ENSBTAG00000024476	58.16037	50.92082	50.50386	59.22669	19.56048	21.19923	18.16709
ENSBTAG00000024496	0.0	0.310085	0.578221	0.119164	0.0	0.0	0.0
ENSBTAG00000024507	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000024561	866.5931	614.0427	853.6321	865.3211	705.8669	547.3284	1130.893
ENSBTAG00000024605	167.1712	168.4056	167.1887	172.7168	0.0	8.44145	0.0
ENSBTAG00000024701	32.28788	34.11066	32.55923	37.94535	13.5966	16.61199	7.214745
ENSBTAG00000024803	9.623164	9.681493	9.757285	8.284695	23.71545	23.81103	22.75643
ENSBTAG00000024926	0.0	0.0	0.09801	0.0	0.0	0.0	0.0
ENSBTAG00000024975	0.268324	0.104506	0.033109	0.095869	0.0	0.072079	0.0
ENSBTAG00000024979	0.0	0.0	0.117236	0.206945	0.0	0.298781	0.0
ENSBTAG00000025029	22.12219	22.04273	16.12657	22.95792	38.40303	37.69004	47.25551
ENSBTAG00000025078	4.163816	9.535943	6.811182	6.78682	0.776101	0.858763	0.0
ENSBTAG00000025149	8.192958	5.299376	6.027717	6.009998	2.237796	2.49742	2.018698
ENSBTAG00000025210	45.49799	49.94099	33.19062	32.12497	5.270075	7.033562	2.532837
ENSBTAG00000025212	10.34153	6.732887	9.190115	7.863772	6.102283	8.808045	5.997874
