ENSEMBL gene ID	E6_Lung	E4_Lung1	E4_Lung2	E4_Lung3	E1_LUNG3770	E1_LUNG3773	E1_LUNG3842	E1_LUNG3886
ENSBTAG00000007620	11.53742	2.908688	0.614283	2.787692	34.58189	33.96927	42.47319	36.74022
ENSBTAG00000007623	33.12928	17.74418	14.92647	13.82251	29.74966	30.92666	36.91933	39.8848
ENSBTAG00000007636	10.39777	12.28924	14.45123	14.70957	7.51267	8.852565	5.933078	7.126754
ENSBTAG00000007666	1.307504	0.250264	0.070692	1.417127	5.110569	5.776303	2.030076	3.50608
ENSBTAG00000007681	7.95673	31.74728	35.10549	27.79793	10.9134	9.62149	5.89269	7.741236
ENSBTAG00000007683	1.94318	6.732462	7.499592	8.452576	2.022882	2.034348	1.760037	2.055554
ENSBTAG00000007684	2.316138	6.776455	9.696551	6.277246	6.661444	6.024825	6.560881	4.660079
ENSBTAG00000007689	1.558269	0.893235	0.979283	0.802365	3.155044	6.312143	2.445121	4.719015
ENSBTAG00000007721	10.44084	44.16013	25.2479	47.92252	42.79066	39.7231	55.19236	39.21599
ENSBTAG00000007725	184.6142	181.4854	146.7103	161.4929	200.8523	204.8291	222.4938	196.2297
ENSBTAG00000007728	11.14769	2.864585	2.906685	1.455093	34.2227	34.40144	39.51295	41.46648
ENSBTAG00000007740	52.51559	12.47083	8.75773	9.964651	244.0809	303.9982	170.8309	151.8212
ENSBTAG00000007753	4.611317	0.37644	0.422991	0.165201	6.878122	3.996368	7.976512	5.391138
ENSBTAG00000007754	17.33915	3.103893	0.0	0.0	76.81072	89.27529	108.3952	90.29617
ENSBTAG00000007755	6.677522	3.960289	13.24893	2.572331	7.574924	9.472488	12.1056	19.46391
ENSBTAG00000007756	7.83638	0.0	2.28228	1.653884	31.241	29.58691	44.35842	29.57464
ENSBTAG00000007757	9.047589	1.80945	0.0	2.095157	28.27419	29.06999	32.19286	29.80002
ENSBTAG00000007759	9.363007	4.236648	1.963873	3.596585	19.05685	15.19459	14.93383	16.18648
ENSBTAG00000007763	3.629016	4.913118	3.699811	4.382084	4.250337	4.100315	2.351548	3.231359
ENSBTAG00000007779	3.646482	4.776875	4.161276	5.081076	3.720076	4.975913	3.892332	6.065516
ENSBTAG00000007784	29.01443	87.87203	92.60656	98.54247	35.01737	30.23069	29.28766	32.92638
ENSBTAG00000007785	0.187455	2.865774	3.600029	2.635276	0.359779	0.324908	0.253678	0.133211
ENSBTAG00000007807	23.72642	5.772152	5.500091	9.147565	15.90081	17.11198	10.80905	17.16951
ENSBTAG00000007829	6.812114	12.22111	10.68743	12.20054	15.79781	10.28381	10.73224	17.00072
ENSBTAG00000007838	2.25051	0.161765	0.0	0.606912	6.265913	4.297723	6.366385	4.767365
ENSBTAG00000007844	48.94645	75.94402	80.62974	69.3609	0.0	0.0	0.0	0.0
ENSBTAG00000007860	0.420256	0.623349	0.594727	0.584179	1.187795	0.830106	0.256807	0.475735
ENSBTAG00000007863	10.86425	33.10545	29.60935	35.36389	30.066	26.26524	20.33241	24.91581
ENSBTAG00000007913	22.89356	101.4287	97.43108	106.2311	61.06158	61.49638	91.42124	60.32964
ENSBTAG00000007927	4.05972	2.349499	3.069064	1.821406	1.765635	2.15935	1.492387	1.825999
ENSBTAG00000007931	0.552954	0.851205	0.0	1.394179	2.636121	3.942835	4.632918	3.83882
ENSBTAG00000007933	20.40818	29.19197	29.82494	33.35284	51.26924	33.20854	21.61339	28.88327
ENSBTAG00000007969	0.0	0.0	0.0	0.0	0.286074	0.129399	0.131981	0.212348
ENSBTAG00000007994	1.472269	0.294987	0.22969	0.607687	4.842842	2.708937	2.155581	6.182397
ENSBTAG00000008003	29.39955	24.51984	21.24595	19.31944	18.93063	19.78885	14.84301	20.55514
ENSBTAG00000008024	4.842956	0.0	0.0	4.366936	18.5562	18.78605	27.80304	15.82987
ENSBTAG00000008033	22.66327	43.56287	36.93276	45.5232	25.06798	21.74618	21.71179	21.26712
ENSBTAG00000008053	7.550301	9.728638	11.32817	9.681284	6.439313	8.745777	6.735839	8.233221
ENSBTAG00000008061	27.37248	18.79496	20.94595	24.36038	34.48925	32.824	29.41903	38.18916
ENSBTAG00000008072	45.97102	135.8769	134.6258	146.8387	36.41718	34.58751	34.78469	32.95379
ENSBTAG00000008075	24.61614	15.95069	14.41358	11.28187	31.43616	35.80927	48.48206	33.56468
ENSBTAG00000008077	6.244773	4.95289	3.21353	3.650838	5.608722	6.376562	8.073736	7.22389
ENSBTAG00000008084	5.155812	10.15978	8.512412	10.14934	2.150892	2.366343	1.970349	1.953889
ENSBTAG00000008090	16.65996	3.88722	3.204844	5.739785	30.39008	33.16563	44.42046	32.59684
ENSBTAG00000008110	23.0113	13.6167	17.02588	21.55795	21.49244	23.27901	22.50388	19.63673
ENSBTAG00000008112	2.510485	6.674836	7.282252	6.472409	4.680791	4.519427	2.856391	4.101428
ENSBTAG00000008113	10.15546	3.765491	1.155878	3.854156	6.786967	5.415594	2.205307	4.651455
ENSBTAG00000008115	19.86312	15.01627	13.69778	14.38009	37.32042	28.29133	18.26343	25.50485
ENSBTAG00000008116	16.72744	6.685594	9.063216	10.0148	59.13849	57.32776	63.35501	55.9216
ENSBTAG00000008118	12.56346	16.1621	18.75566	14.50543	24.95063	21.04957	36.21792	22.13077
ENSBTAG00000008120	13.27004	17.62617	31.80859	20.34751	10.11428	10.36369	11.9499	10.95552
ENSBTAG00000008122	87.18166	105.1978	101.597	103.0101	157.0734	167.901	211.8702	165.8017
ENSBTAG00000008127	0.0	0.0	0.0	0.0	0.081635	0.0	0.0	0.0
ENSBTAG00000008129	0.568384	0.486605	0.309927	0.710548	3.349364	0.041812	2.181274	2.337118
ENSBTAG00000008131	26.02487	48.65032	43.80516	56.25655	17.01872	16.98834	12.29307	14.0563
ENSBTAG00000008133	13.97878	12.58702	13.40617	11.94063	6.80198	7.107269	7.35587	5.693258
