ENSEMBL gene ID	E1_LIVE3770	E1_LIVE3773	E1_LIVE3842	E1_LIVE3886	E4_Liver1	E4_Liver2	E4_Liver3
ENSBTAG00000018252	5.146702	3.234508	3.083089	2.483745	1.576072	2.385069	2.978989
ENSBTAG00000018254	14.71481	11.70452	15.19856	12.68909	13.29074	28.89186	28.08123
ENSBTAG00000018256	4.209284	3.767789	3.616304	2.746698	2.266038	3.214761	2.241551
ENSBTAG00000018257	9.337319	8.798802	12.16536	9.716525	1.535635	5.144914	2.145979
ENSBTAG00000018258	47.49589	49.51631	47.43583	42.77816	106.7736	60.21411	66.21793
ENSBTAG00000018260	2.241229	3.621737	1.852518	2.921583	1.109235	0.587362	1.808649
ENSBTAG00000018261	8.512878	5.020843	8.704393	5.685258	8.395727	11.63452	10.06958
ENSBTAG00000018262	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000018267	0.172256	0.0	0.206578	0.081833	0.093646	0.0	0.0
ENSBTAG00000018278	162.9536	135.478	182.7694	156.1844	20.35931	18.29415	7.654965
ENSBTAG00000018281	5.691207	6.791842	3.664009	3.170113	5.476082	7.542773	6.402368
ENSBTAG00000018282	6.817464	6.323538	6.08555	6.349987	7.130736	4.738781	5.749383
ENSBTAG00000018291	15.96461	21.30983	11.54777	13.31478	4.868559	5.892799	7.114412
ENSBTAG00000018310	17.91998	17.91132	16.22371	16.77939	7.948864	3.792463	5.403481
ENSBTAG00000018314	17.88466	15.94223	19.6632	16.51786	4.986373	3.596695	4.276766
ENSBTAG00000018315	9.905809	11.77189	6.778584	11.30289	1.018243	0.517604	1.14621
ENSBTAG00000018316	4.881855	3.998813	4.270669	4.873446	1.426911	0.207732	0.592891
ENSBTAG00000018329	13.33087	11.65366	13.17464	12.59296	0.0	1.324929	0.0
ENSBTAG00000018330	0.873109	0.739541	0.896515	0.598038	0.155049	1.052374	1.478002
ENSBTAG00000018334	1.341884	1.23514	0.713124	0.664805	0.438603	0.287271	1.20785
ENSBTAG00000018342	5.695055	6.584283	5.684151	6.219575	0.414746	0.137484	0.186404
ENSBTAG00000018360	9.177458	7.131681	8.874274	7.556979	11.66431	10.09268	6.756647
ENSBTAG00000018363	4.203201	4.944506	6.010107	4.437046	5.578627	5.970882	4.278545
ENSBTAG00000018373	14.7263	11.54322	10.26095	8.660999	9.36552	7.337665	6.882697
ENSBTAG00000018374	10.29485	10.71733	7.579755	7.391727	5.908385	5.350035	7.214608
ENSBTAG00000018379	10.50749	9.388396	7.94484	10.17289	1.673385	0.77528	0.983807
ENSBTAG00000018381	8.866278	5.571412	5.457637	4.575448	8.117595	6.199299	5.940446
ENSBTAG00000018383	0.259814	0.188324	0.155987	0.199637	0.0	0.329026	0.35652
ENSBTAG00000018387	22.43439	26.67794	22.03297	27.10328	0.505122	0.370687	0.640939
ENSBTAG00000018401	1.954959	1.924075	1.751888	1.172574	1.997648	1.983595	1.266024
ENSBTAG00000018403	4.038661	2.034298	2.545298	2.402115	0.0	0.13793	0.10234
ENSBTAG00000018405	8.531715	9.021473	10.39113	8.841244	2.586031	1.937659	2.919438
ENSBTAG00000018417	53.2867	49.54223	58.13237	46.00883	18.00615	12.31707	13.98936
ENSBTAG00000018418	0.100221	0.0	0.0	0.0	0.378752	0.228863	1.842976
ENSBTAG00000018449	23.63593	29.90375	18.77331	23.63565	5.39087	2.225382	3.348006
ENSBTAG00000018452	4.521854	3.887089	4.118642	3.384786	5.758098	5.837397	8.139561
ENSBTAG00000018469	160.0754	230.7598	118.8074	192.8149	95.18283	103.2674	118.5549
ENSBTAG00000018479	18.03617	20.91269	23.88232	18.46001	0.534285	2.461927	2.092075
ENSBTAG00000018482	3.528133	4.391386	3.632903	3.688763	0.532258	1.178405	1.831943
ENSBTAG00000018483	31.58655	31.76035	49.63081	34.63385	6.319269	1.330687	1.934057
ENSBTAG00000018493	0.205089	0.266784	0.421583	0.090766	1.675563	1.133138	1.717519
ENSBTAG00000018496	0.0	0.0	0.0	0.0	7.104278	3.16659	4.365068
ENSBTAG00000018498	0.0	0.0	0.0	0.0	3.803291	1.583698	2.583626
ENSBTAG00000018501	1.853474	2.752412	1.532598	1.736361	0.281217	0.65238	0.60854
ENSBTAG00000018502	0.825413	1.226794	0.725286	0.835345	0.01659	0.29548	0.276846
ENSBTAG00000018520	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000018531	63.96885	37.06733	33.90305	46.55909	72.95282	78.45081	84.46918
ENSBTAG00000018539	0.065053	0.287945	0.360206	0.0	0.0	0.0	0.0
ENSBTAG00000018543	0.585819	0.44482	0.572011	0.263539	0.0	0.217569	0.0
ENSBTAG00000018548	72.12663	54.55777	76.37134	84.22335	77.33923	71.52955	72.98244
ENSBTAG00000018557	8.847553	8.963343	10.43757	7.500841	41.27555	42.00122	37.00665
ENSBTAG00000018569	0.0	0.0	0.0	0.0	5.689821	4.092461	5.110965
ENSBTAG00000018578	0.461241	0.536412	0.629269	0.356336	0.3122	0.079569	0.212968
ENSBTAG00000018579	8.909735	9.005011	9.291579	9.962452	3.306142	4.098379	3.857835
ENSBTAG00000018593	92.0423	96.98676	113.5153	88.60703	12.62047	5.58571	11.44963
ENSBTAG00000018594	18.25652	21.28209	16.76129	19.82799	0.0	0.192145	1.07921
ENSBTAG00000018598	28.79069	30.7138	28.2836	23.03494	10.99043	5.712057	5.911012
ENSBTAG00000018599	0.324867	0.304854	0.073668	0.190416	0.0	0.115232	0.070991
ENSBTAG00000018613	2.898952	3.729114	3.067982	2.266587	12.89057	8.39995	8.46352
ENSBTAG00000018628	530.8352	461.4962	623.7038	502.1367	120.6983	74.48325	92.55559
ENSBTAG00000018636	5.91196	5.863486	4.234653	5.28985	3.213927	0.886275	1.341676
ENSBTAG00000018660	8.32755	8.02196	4.97679	5.852113	0.781003	0.398306	0.746027
ENSBTAG00000018680	7.896965	7.550732	5.917398	6.619207	1.068548	1.382588	1.620133
ENSBTAG00000018694	53.20565	49.63982	50.86898	46.57717	71.34696	90.28664	81.46667
ENSBTAG00000018704	4.753496	2.495814	2.85833	2.329026	0.302419	5.968423	5.893459
ENSBTAG00000018705	0.248779	0.240311	0.168444	0.086334	0.0	0.074963	0.0
